wavenumber,mixed_spectrum
979.0,4.684299660170162e-25
980.0,4.0987295787516555e-25
981.0,8.014629453985881e-25
982.0,3.4593350261033463e-25
983.0,3.09194253046728e-25
984.0,4.162708119948358e-25
985.0,5.2139566699661795e-25
986.0,5.951924015718076e-25
987.0,3.458691025544347e-25
988.0,1.7426346333815019e-25
989.0,4.349453347074995e-25
990.0,3.9642383451893016e-25
991.0,3.919873201594225e-25
992.0,3.7780536687135476e-25
993.0,3.158877428485095e-25
994.0,2.8100849886581324e-25
995.0,2.518922046045511e-25
996.0,2.211969077552573e-25
997.0,2.1261248913327064e-25
998.0,1.8381574518447773e-25
999.0,1.582875674680824e-25
1000.0,1.3749735925039575e-25
1001.0,1.3064981728095846e-25
1002.0,1.4111438844694852e-25
1003.0,1.3519460447471736e-25
1004.0,1.280438683690152e-25
1005.0,1.2768318354137664e-25
1006.0,1.267930253025643e-25
1007.0,1.268690525858615e-25
1008.0,1.2580919093407686e-25
1009.0,1.254776105028446e-25
1010.0,1.2700448245879522e-25
1011.0,1.2406223292071722e-25
1012.0,1.2346121593449393e-25
1013.0,1.2273585629489347e-25
1014.0,1.325086106698912e-25
1015.0,1.2164892165299873e-25
1016.0,1.2133664496334137e-25
1017.0,1.2625852611237646e-25
1018.0,1.2028061553819664e-25
1019.0,1.1925503009002007e-25
1020.0,1.185684104044401e-25
1021.0,1.1813504876318473e-25
1022.0,1.1752167020987965e-25
1023.0,1.4096491995784307e-25
1024.0,1.3755613673488976e-25
1025.0,1.1702392544552014e-25
1026.0,1.1507960491314492e-25
1027.0,1.2615976290983165e-25
1028.0,1.1401081331268028e-25
1029.0,1.1351594342394562e-25
1030.0,1.1933128644059518e-25
1031.0,1.1233014431976074e-25
1032.0,1.117654385973523e-25
1033.0,2.0713842800688494e-25
1034.0,1.120129353117141e-25
1035.0,1.5148816984846004e-25
1036.0,1.4823379056419644e-25
1037.0,1.1274168814584197e-25
1038.0,1.0853762330806043e-25
1039.0,3.000301526953767e-25
1040.0,1.0749506861409908e-25
1041.0,1.0648629178636254e-25
1042.0,5.510316388375683e-25
1043.0,1.0524621183774111e-25
1044.0,1.0535562541671364e-25
1045.0,1.111320699186518e-25
1046.0,1.0463088472224657e-25
1047.0,1.130394728646884e-25
1048.0,1.1520130597758067e-25
1049.0,1.0386182730465289e-25
1050.0,1.01191403621441e-25
1051.0,1.3419381904716985e-25
1052.0,9.994502402899608e-26
1053.0,9.951203742289205e-26
1054.0,1.0038423466089048e-25
1055.0,6.1395433278739866e-24
1056.0,1.5496186045590427e-25
1057.0,9.550813616775229e-25
1058.0,1.3229450386580038e-25
1059.0,9.571392319378849e-26
1060.0,1.0777196957351991e-25
1061.0,9.845390442229665e-26
1062.0,4.820463838401155e-25
1063.0,9.355405277126381e-26
1064.0,9.568929274134706e-26
1065.0,9.248421203594358e-26
1066.0,9.176452377138414e-26
1067.0,1.0627515449853393e-25
1068.0,9.044419309970534e-26
1069.0,9.022360010013908e-26
1070.0,9.642138313324294e-26
1071.0,3.292604983831797e-25
1072.0,8.828185003613734e-26
1073.0,9.374023788108359e-26
1074.0,3.077678815848313e-25
1075.0,8.648581256120492e-26
